1,41.58,1.75,1,1,6,1,0.21,1,2,0,1,1,160.0,0,2
1,48.25,25.085,1,1,1,1,1.75,1,1,3,1,1,120.0,14,1
2,38.58,5.0,1,1,5,1,13.5,1,2,0,2,1,980.0,0,2
1,23.92,1.5,1,1,8,2,1.875,1,1,6,1,1,200.0,327,1
1,32.75,2.335,1,1,8,2,5.75,2,2,0,2,1,292.0,0,2
2,30.0,5.29,1,1,11,8,2.25,1,1,5,2,1,99.0,500,1
1,31.5681710914,0.375,1,1,8,1,0.875,1,2,0,2,2,928.0,0,2
1,21.0,4.79,2,2,1,1,2.25,1,1,1,2,1,80.0,300,1
2,27.17,1.25,1,1,13,4,0.0,2,1,1,1,1,92.0,300,2
2,26.17,2.0,1,1,14,5,0.0,2,2,0,2,1,276.0,1,2
1,19.0,0.0,2,2,13,4,0.0,2,1,4,1,1,45.0,1,2
2,33.25,2.5,2,2,7,1,2.5,2,2,0,2,1,0.0,2,2
1,33.67,2.165,1,1,7,1,1.5,2,2,0,1,3,120.0,0,2
1,22.25,9.0,1,1,12,1,0.085,2,2,0,1,1,0.0,0,2
1,38.92,1.75,1,1,6,1,0.5,2,2,0,2,1,300.0,2,2
1,33.17,1.04,1,1,4,2,6.5,1,2,0,2,1,164.0,31285,1
1,53.92,9.625,1,1,11,1,8.665,1,1,5,1,1,0.0,0,1
1,35.17,25.125,1,1,9,2,1.625,1,1,1,2,1,515.0,500,1
2,64.08,0.165,1,1,13,4,0.0,1,1,1,1,1,232.0,100,1
2,28.58,3.54,1,1,10,3,0.5,1,2,0,2,1,171.0,0,2
1,34.5,4.04,2,2,10,3,8.5,1,1,7,2,1,195.0,0,1
1,41.17,1.335,1,1,8,1,0.165,2,2,0,1,1,168.0,0,2
1,20.0,1.25,2,2,6,1,0.125,2,2,0,1,1,140.0,4,2
1,21.08,4.125,2,2,10,2,0.04,2,2,0,1,1,140.0,100,2
1,74.83,19.0,2,2,13,4,0.04,2,1,2,1,1,0.0,351,2
2,31.5681710914,3.5,1,1,8,1,3.0,1,2,0,2,1,300.0,0,2
2,27.67,2.04,1,1,1,1,0.25,2,2,0,2,1,180.0,50,2
1,21.83,11.0,1,1,9,1,0.29,1,1,6,1,1,121.0,0,1
1,32.33,2.5,1,1,7,1,1.25,2,2,0,2,1,280.0,0,2
1,23.75,0.415,2,2,7,1,0.04,2,1,2,1,1,128.0,6,2
1,43.17,2.25,1,1,10,3,0.75,1,2,0,1,1,560.0,0,2
2,26.92,13.5,1,1,2,2,5.0,1,1,2,1,1,0.0,5000,1
1,40.0,6.5,1,1,12,3,3.5,1,1,1,1,1,0.0,500,1
1,27.42,12.5,1,1,12,3,0.25,2,2,0,2,1,720.0,0,2
2,56.83,4.25,2,2,13,4,5.0,2,2,0,2,1,0.0,4,2
1,39.0,5.0,1,1,5,1,3.5,1,1,10,2,1,0.0,0,1
1,48.17,3.5,1,1,12,1,3.5,1,2,0,1,2,230.0,0,1
2,17.83,11.0,1,1,9,2,1.0,1,1,11,1,1,0.0,3000,1
2,40.33,8.125,2,2,6,1,0.165,2,1,2,1,1,184.014771049,18,2
1,35.58,0.75,1,1,6,1,1.5,2,2,0,2,1,231.0,0,2
1,42.0,9.79,1,1,9,2,7.96,1,1,8,1,1,0.0,0,1
1,34.0,5.5,2,2,7,1,1.5,2,2,0,2,1,60.0,0,2
1,16.25,0.835,1,1,3,1,0.085,1,2,0,1,2,200.0,0,2
2,22.5,11.0,2,2,2,1,3.0,1,2,0,2,1,268.0,0,2
1,40.92,2.25,2,2,9,2,10.0,1,2,0,2,1,176.0,0,2
2,23.5,1.5,1,1,1,1,0.875,2,2,0,2,1,160.0,0,2
1,18.83,0.0,1,1,2,1,0.665,2,2,0,1,1,160.0,1,2
2,20.75,10.25,1,1,2,1,0.71,1,1,2,2,1,49.0,0,1
1,39.17,1.625,1,1,7,1,1.5,1,1,10,1,1,186.0,4700,1
1,17.58,10.0,1,1,1,2,0.165,2,1,1,1,1,120.0,1,2
2,38.33,4.415,1,1,7,1,0.125,2,2,0,1,1,160.0,0,2
2,22.92,11.585,1,1,5,1,0.04,1,2,0,1,1,80.0,1349,1
2,21.25,2.335,1,1,10,3,0.5,1,1,4,1,2,80.0,0,1
1,29.42,1.25,1,1,1,1,1.75,2,2,0,1,1,200.0,0,2
2,28.42,3.5,1,1,1,1,0.835,1,2,0,1,2,280.0,0,1
1,59.67,1.54,1,1,2,1,0.125,1,2,0,2,1,260.0,0,1
2,22.58,10.75,1,1,2,1,0.415,1,1,5,2,1,0.0,560,1
1,34.08,2.5,1,1,7,1,1.0,2,2,0,1,1,460.0,16,2
2,25.42,1.125,1,1,2,1,1.29,1,1,2,1,1,200.0,0,2
1,43.17,5.0,1,1,10,3,2.25,2,2,0,2,1,141.0,0,2
1,23.5,2.75,1,1,13,4,4.5,2,2,0,1,1,160.0,25,2
1,33.17,3.165,2,2,9,1,3.165,1,1,3,2,1,380.0,0,1
2,47.42,3.0,1,1,9,1,13.875,1,1,2,2,1,519.0,1704,1
2,39.08,4.0,1,1,7,1,3.0,2,2,0,1,1,480.0,0,2
2,19.5,0.165,1,1,2,1,0.04,2,2,0,2,1,380.0,0,2
2,23.58,0.585,2,2,13,4,0.125,2,2,0,1,1,120.0,87,2
2,57.58,2.0,1,1,13,4,6.5,2,1,1,1,1,0.0,10,2
2,15.83,0.585,1,1,7,2,1.5,1,1,2,1,1,100.0,0,1
2,23.75,0.71,1,1,1,1,0.25,2,1,1,2,1,240.0,4,2
1,25.0,12.5,1,1,12,1,3.0,1,2,0,2,2,20.0,0,1
1,29.92,1.835,1,1,7,2,4.335,1,2,0,1,1,260.0,200,1
1,24.5,12.75,1,1,7,3,4.75,1,1,2,1,1,73.0,444,1
1,33.17,3.04,2,2,7,2,2.04,1,1,1,2,1,180.0,18027,1
2,18.92,9.25,2,2,7,1,1.0,1,1,4,2,1,80.0,500,1
1,23.5,3.165,2,2,6,1,0.415,2,1,1,2,1,280.0,80,2
1,32.67,5.5,1,1,2,2,5.5,1,1,12,2,1,408.0,1000,1
1,45.33,1.0,1,1,2,1,0.125,2,2,0,2,1,263.0,0,2
2,57.08,0.335,1,1,10,3,1.0,1,2,0,2,1,252.0,2197,2
2,17.58,9.0,1,1,12,1,1.375,1,2,0,2,1,0.0,0,1
1,26.25,1.54,1,1,1,1,0.125,2,2,0,1,1,100.0,0,2
1,21.83,1.54,1,1,6,1,0.085,2,2,0,2,1,356.0,0,2
1,35.25,3.165,1,1,9,2,3.75,1,2,0,2,1,680.0,0,2
2,48.17,1.335,1,1,10,7,0.335,2,2,0,1,1,0.0,120,2
1,33.58,0.335,2,2,5,1,0.085,2,2,0,1,1,180.0,0,2
1,37.17,4.0,1,1,7,3,5.0,1,2,0,2,2,280.0,0,2
2,25.33,2.085,1,1,7,2,2.75,1,2,0,2,1,360.0,1,2
1,23.58,1.79,1,1,7,1,0.54,2,2,0,2,1,136.0,1,2
2,57.08,19.5,1,1,7,1,5.5,1,1,7,1,1,0.0,3000,1
1,23.42,1.0,1,1,7,1,0.5,2,2,0,2,2,280.0,0,2
1,48.33,12.0,1,1,3,1,16.0,1,2,0,1,2,110.0,0,1
2,60.58,16.5,1,1,2,1,11.0,1,2,0,2,1,21.0,10561,1
1,34.25,1.75,1,1,1,3,0.25,1,2,0,2,1,163.0,0,2
1,20.67,0.835,2,2,7,1,2.0,2,2,0,2,2,240.0,0,2
1,27.0,1.5,2,2,1,1,0.375,1,2,0,2,1,260.0,1065,1
2,28.75,3.75,1,1,7,1,1.085,1,1,1,2,1,371.0,0,1
1,29.5,0.58,1,1,1,1,0.29,2,1,1,1,1,340.0,2803,2
1,28.0,3.0,1,1,1,1,0.75,2,2,0,2,1,300.0,67,2
1,23.25,1.5,1,1,2,1,2.375,1,1,3,2,1,0.0,582,1
1,26.0,1.0,1,1,2,1,1.75,1,2,0,2,1,280.0,0,1
1,24.42,2.0,1,1,11,8,0.165,2,1,2,1,1,320.0,1300,2
1,20.17,5.625,1,1,1,1,1.71,1,2,0,1,2,120.0,0,1
1,31.5681710914,3.0,2,2,10,3,7.0,2,2,0,1,1,0.0,1,2
1,44.25,0.5,1,1,3,1,10.75,1,2,0,1,2,400.0,0,2
1,23.92,0.665,1,1,7,1,0.165,2,2,0,1,1,100.0,0,1
2,38.25,6.0,1,1,6,1,1.0,1,2,0,2,1,0.0,0,1
1,22.67,1.585,2,2,1,1,3.085,1,1,6,1,1,80.0,0,1
1,22.75,11.0,1,1,2,1,2.5,1,1,7,2,1,100.0,809,1
2,20.33,10.0,1,1,7,2,1.0,1,1,4,1,1,50.0,1465,1
1,25.75,0.75,1,1,7,3,0.25,1,2,0,1,1,349.0,23,1
1,31.67,0.83,1,1,9,1,1.335,1,1,8,2,1,303.0,3290,1
1,37.58,0.0,1,1,7,1,0.0,2,2,0,1,3,184.014771049,0,1
2,22.75,6.165,1,1,12,1,0.165,2,2,0,1,1,220.0,1000,2
1,22.17,12.125,1,1,7,1,3.335,2,1,2,2,1,180.0,173,2
1,73.42,17.75,1,1,13,4,0.0,1,2,0,2,1,0.0,0,1
1,22.08,2.335,1,1,6,1,0.75,2,2,0,1,1,180.0,0,2
2,36.58,0.29,1,1,13,4,0.0,2,1,10,1,1,200.0,18,2
1,57.83,7.04,1,1,3,1,14.0,1,1,6,2,1,360.0,1332,1
2,41.33,1.0,1,1,10,3,2.25,1,2,0,2,1,0.0,300,1
1,35.17,4.5,1,1,9,2,5.75,2,2,0,2,2,711.0,0,1
2,44.17,6.665,1,1,2,1,7.375,1,1,3,2,1,0.0,0,1
2,22.5,8.46,2,2,9,1,2.46,2,2,0,1,1,164.0,0,1
1,18.0,0.165,1,1,2,9,0.21,2,2,0,1,1,200.0,40,1
1,18.33,1.21,2,2,11,8,0.0,2,2,0,1,1,100.0,0,2
2,29.5,1.085,2,2,9,1,1.0,2,2,0,1,1,280.0,13,2
1,39.33,5.875,1,1,5,2,10.0,1,1,14,2,1,399.0,0,1
2,20.67,1.835,1,1,2,1,2.085,1,1,5,1,1,220.0,2503,1
1,18.5,2.0,1,1,10,1,1.5,1,1,2,1,1,120.0,300,1
2,25.08,2.54,2,2,12,1,0.25,1,2,0,2,1,370.0,0,1
